android.animation.Animator.AnimatorListener,"default void onAnimationStart(Animator animation, boolean isReverse)", Notifies the start of the animation as well as the animation's overall play direction.
android.animation.Animator,void addListener(Animator.AnimatorListener listener)," Adds a listener to the set of listeners that are sent events through the life of an animation, such as start, repeat, and end."
android.animation.AnimatorSet.Builder,AnimatorSet.Builder with(Animator anim), Sets up the given animation to play at the same time as the animation supplied in the play(Animator) call that created this Builder object.
android.animation.Keyframe,float getFraction()," Gets the time for this keyframe, as a fraction of the overall animation duration."
android.animation.Keyframe,void setFraction(float fraction)," Sets the time for this keyframe, as a fraction of the overall animation duration."
android.animation.LayoutTransition,void setAnimateParentHierarchy(boolean animateParentHierarchy), This flag controls whether CHANGE_APPEARING or CHANGE_DISAPPEARING animations will cause the default changing animation to be run on the parent hierarchy as well.
android.animation.PropertyValuesHolder,"static PropertyValuesHolder ofMultiFloat(String propertyName, Path path)", Constructs and returns a PropertyValuesHolder with a given property name to use as a multi-float setter.
android.animation.PropertyValuesHolder,"static PropertyValuesHolder ofMultiInt(String propertyName, Path path)", Constructs and returns a PropertyValuesHolder with a given property name to use as a multi-int setter.
android.app.ActionBar,abstract void setDisplayHomeAsUpEnabled(boolean showHomeAsUp)," Set whether home should be displayed as an ""up"" affordance."
android.app.Activity,void finishAffinity(), Finish this activity as well as all activities immediately below it in the current task that have the same affinity.
android.app.Activity,void finishAndRemoveTask(), Call this when your activity is done and should be closed and the task should be completely removed as a part of finishing the root activity of the task.
android.app.Activity,boolean isVoiceInteraction(), Check whether this activity is running as part of a voice interaction with the user.
android.app.Activity,"void onCreate(Bundle savedInstanceState, PersistableBundle persistentState)", Same as onCreate(android.os.Bundle) but called for those activities created with the attribute persistableMode set to persistAcrossReboots.
android.app.Activity,"void onPostCreate(Bundle savedInstanceState, PersistableBundle persistentState)", This is the same as onPostCreate(Bundle) but is called for activities created with the attribute persistableMode set to persistAcrossReboots.
android.app.Activity,"void onRestoreInstanceState(Bundle savedInstanceState, PersistableBundle persistentState)", This is the same as onRestoreInstanceState(Bundle) but is called for activities created with the attribute persistableMode set to persistAcrossReboots.
android.app.Activity,Object onRetainNonConfigurationInstance()," Called by the system, as part of destroying an activity due to a configuration change, when it is known that a new instance will immediately be created for the new configuration."
android.app.Activity,"void onSaveInstanceState(Bundle outState, PersistableBundle outPersistentState)", This is the same as onSaveInstanceState(Bundle) but is called for activities created with the attribute persistableMode set to persistAcrossReboots.
android.app.Activity,void onStateNotSaved()," Called when an onResume() is coming up, prior to other pre-resume callbacks such as onNewIntent(Intent) and onActivityResult(int, int, Intent)."
android.app.Activity,void onVisibleBehindCanceled(), This method was deprecated in API level 26. This method's functionality is no longer supported as of O and will be removed in a future release.
android.app.Activity,boolean requestVisibleBehind(boolean visible), This method was deprecated in API level 26. This method's functionality is no longer supported as of O and will be removed in a future release.
android.app.Activity,void setActionBar(Toolbar toolbar), Set a Toolbar to act as the ActionBar for this Activity window.
android.app.Activity,void startActivities(Intent[] intents)," Same as startActivities(Intent[], Bundle) with no options specified."
android.app.Activity,void startActivity(Intent intent)," Same as startActivity(Intent, Bundle) with no options specified."
android.app.Activity,"void startActivityForResult(Intent intent, int requestCode)"," Same as calling startActivityForResult(Intent, int, Bundle) with no options."
android.app.Activity,"void startActivityFromChild(Activity child, Intent intent, int requestCode)"," Same as calling startActivityFromChild(Activity, Intent, int, Bundle) with no options."
android.app.Activity,"boolean startActivityIfNeeded(Intent intent, int requestCode)"," Same as calling startActivityIfNeeded(Intent, int, Bundle) with no options."
android.app.Activity,"void startIntentSender(IntentSender intent, Intent fillInIntent, int flagsMask, int flagsValues, int extraFlags)"," Same as calling startIntentSender(IntentSender, Intent, int, int, int, Bundle) with no options."
android.app.Activity,"void startIntentSenderForResult(IntentSender intent, int requestCode, Intent fillInIntent, int flagsMask, int flagsValues, int extraFlags)"," Same as calling startIntentSenderForResult(IntentSender, int, Intent, int, int, int, Bundle) with no options."
android.app.Activity,"void startIntentSenderFromChild(Activity child, IntentSender intent, int requestCode, Intent fillInIntent, int flagsMask, int flagsValues, int extraFlags)"," Same as calling startIntentSenderFromChild(Activity, IntentSender, int, Intent, int, int, int, Bundle) with no options."
android.app.Activity,boolean startNextMatchingActivity(Intent intent)," Same as calling startNextMatchingActivity(Intent, Bundle) with no options."
android.app.Fragment,"final String getString(int resId, Object... formatArgs)"," Return a localized formatted string from the application's package's default string table, substituting the format arguments as defined in Formatter and format(String, Object...)."
android.app.Fragment,final boolean isInLayout(), Return true if the layout is included as part of an activity view hierarchy via the <fragment> tag.
android.app.Fragment,void onAttachFragment(Fragment childFragment), Called when a fragment is attached as a child of this fragment.
android.app.Fragment,void onHiddenChanged(boolean hidden), Called when the hidden state (as returned by isHidden() of the fragment has changed.
android.app.Fragment,"void onInflate(Context context, AttributeSet attrs, Bundle savedInstanceState)"," Called when a fragment is being created as part of a view layout inflation, typically from setting the content view of an activity."
android.app.Fragment,void setInitialSavedState(Fragment.SavedState state)," Set the initial saved state that this Fragment should restore itself from when first being constructed, as returned by FragmentManager.saveFragmentInstanceState."
android.app.Fragment,void setRetainInstance(boolean retain), Control whether a fragment instance is retained across Activity re-creation (such as from a configuration change).
android.app.FragmentController,void noteStateNotSaved(), Marks the fragment state as unsaved.
android.app.FragmentTransaction,abstract FragmentTransaction setBreadCrumbShortTitle(int res)," Set the short title to show as a bread crumb when this transaction is on the back stack, as used by FragmentBreadCrumbs."
android.app.FragmentTransaction,abstract FragmentTransaction setBreadCrumbShortTitle(CharSequence text)," Like setBreadCrumbShortTitle(int) but taking a raw string; this method is not recommended, as the string can not be changed later if the locale changes."
android.app.FragmentTransaction,abstract FragmentTransaction setBreadCrumbTitle(int res)," Set the full title to show as a bread crumb when this transaction is on the back stack, as used by FragmentBreadCrumbs."
android.app.FragmentTransaction,abstract FragmentTransaction setBreadCrumbTitle(CharSequence text)," Like setBreadCrumbTitle(int) but taking a raw string; this method is not recommended, as the string can not be changed later if the locale changes."
android.app.FragmentTransaction,abstract FragmentTransaction setPrimaryNavigationFragment(Fragment fragment), Set a currently active fragment in this FragmentManager as the primary navigation fragment.
android.app.Notification.BigPictureStyle,Notification.BigPictureStyle bigPicture(Bitmap b), Provide the bitmap to be used as the payload for the BigPicture notification.
android.app.Notification.Builder,Notification.Builder setBadgeIconType(int icon), Sets which icon to display as a badge for this notification.
android.app.Notification.Builder,Notification.Builder setSettingsText(CharSequence text), Provides text that will appear as a link to your application's settings.
android.app.Notification.Builder,Notification.Builder setUsesChronometer(boolean b), Show the when field as a stopwatch.
android.app.Notification.WearableExtender,int getContentAction()," Get the index of the notification action, if any, that was specified as being clickable with the content of this notification."
android.app.Notification.WearableExtender,boolean getHintAmbientBigPicture()," Get a hint that this notification's Notification.BigPictureStyle (if present) should be converted to low-bit and displayed in ambient mode, especially useful for barcodes and qr codes, as well as other simple black-and-white tickets."
android.app.Notification.WearableExtender,Notification.WearableExtender setHintAmbientBigPicture(boolean hintAmbientBigPicture)," Set a hint that this notification's Notification.BigPictureStyle (if present) should be converted to low-bit and displayed in ambient mode, especially useful for barcodes and qr codes, as well as other simple black-and-white tickets."
android.app.NotificationChannel,boolean canShowBadge(), Returns whether notifications posted to this channel can appear as badges in a Launcher application.
android.app.NotificationChannel,void setShowBadge(boolean showBadge), Sets whether notifications posted to this channel can appear as application icon badges in a Launcher.
android.media.AudioAttributes.Builder,AudioAttributes.Builder setContentType(int contentType)," Sets the attribute describing the content type of the audio signal, such as speech, or music."
android.media.AudioAttributes.Builder,AudioAttributes.Builder setLegacyStreamType(int streamType), Sets attributes as inferred from the legacy stream types.
android.media.AudioAttributes.Builder,AudioAttributes.Builder setUsage(int usage)," Sets the attribute describing what is the intended use of the the audio signal, such as alarm or ringtone."
android.media.AudioFocusRequest.Builder,AudioFocusRequest.Builder setAcceptsDelayedFocusGain(boolean acceptsDelayedFocusGain), Marks this focus request as compatible with delayed focus.
android.media.AudioFocusRequest.Builder,AudioFocusRequest.Builder setForceDucking(boolean forceDucking)," Marks this focus request as forcing ducking, regardless of the conditions in which the system would or would not enforce ducking."
android.media.audiofx.Visualizer,"int setDataCaptureListener(Visualizer.OnDataCaptureListener listener, int rate, boolean waveform, boolean fft)", Registers an OnDataCaptureListener interface and specifies the rate at which the capture should be updated as well as the type of capture requested.
android.media.AudioTrack,"int setStereoVolume(float leftGain, float rightGain)"," This method was deprecated in API level 21. Applications should use setVolume(float) instead, as it more gracefully scales down to mono, and up to multi-channel content beyond stereo."
android.media.DataSourceDesc.Builder,"DataSourceDesc.Builder setDataSource(Context context, Uri uri, Map<String,String> headers, List<HttpCookie> cookies)", Sets the data source as a content Uri.
android.media.DataSourceDesc.Builder,"DataSourceDesc.Builder setDataSource(Context context, Uri uri)", Sets the data source as a content Uri.
android.media.ExifInterface,"double getAttributeDouble(String tag, double defaultValue)", Returns the double value of the tag that is specified as rational or contains a double-formatted value.
android.media.MediaCodec,Surface createInputSurface()," Requests a Surface to use as the input to an encoder, in place of input buffers."
android.media.MediaCodec,static Surface createPersistentInputSurface()," Create a persistent input surface that can be used with codecs that normally have an input surface, such as video encoders."
android.media.MediaCodec,ByteBuffer[] getInputBuffers()," This method was deprecated in API level 21. Use the new getInputBuffer(int) method instead each time an input buffer is dequeued. Note: As of API 21, dequeued input buffers are automatically cleared. Do not use this method if using an input surface."
