ClassName,MathodName,describe,Event A-object,Event A-behavious,Event A-api,Event B-object,Event B-behavious,Event B-api,Modal,Conditon
,,,,,,,,,,
android.animation.Animator,void resume()," Resumes a paused animation, causing the animator to pick up where it left off when it was paused.",animation,resume,android.animation.Animator.resume(),animation,pause,android.animation.Animator.pause(),A must after B,
,,,,,,,,,,
android.animation.AnimatorSet.Builder,AnimatorSet.Builder after(long delay), Sets up the animation supplied in the play(Animator) call that created this Builder object to play when the given amount of time elapses.,no suit,,,,,,,
,,,,,,,,,,
android.animation.AnimatorSet.Builder,AnimatorSet.Builder after(Animator anim), Sets up the given animation to play when the animation supplied in the play(Animator) call that created this Builder object to start when the animation supplied in this method call ends.,,,,,,,,
,,,,,,,,,,
android.animation.AnimatorSet.Builder,AnimatorSet.Builder before(Animator anim), Sets up the given animation to play when the animation supplied in the play(Animator) call that created this Builder object ends.,,,,,,,,
,,,,,,,,,,
android.animation.AnimatorSet,void playSequentially(List<Animator> items), Sets up this AnimatorSet to play each of the supplied animations when the previous animation ends.,animation,play,android.animation.AnimatorSet.playSequentially(List<Animator> items),animation,end,android.animation.Animator.end(),A when B,
,,,,,,,,,,
android.animation.AnimatorSet,void playSequentially(Animator... items), Sets up this AnimatorSet to play each of the supplied animations when the previous animation ends.,animation,play,android.animation.AnimatorSet.playSequentially(Animator... items),animation,end,android.animation.Animator.end(),A when B,
,,,,,,,,,,
android.animation.AnimatorSet,void resume()," Resumes a paused animation, causing the animator to pick up where it left off when it was paused.",animation,resume,android.animation.AnimatorSet.resume(),animation,pause,android.animation.Animator.pause(),A must after B,
,,,,,,,,,,
android.animation.LayoutTransition.TransitionListener,"abstract void endTransition(LayoutTransition transition, ViewGroup container, View view, int transitionType)", This event is sent to listeners when any type of transition animation ends.,,,,,,,,
,,,,,,,,,,
android.animation.LayoutTransition.TransitionListener,"abstract void startTransition(LayoutTransition transition, ViewGroup container, View view, int transitionType)", This event is sent to listeners when any type of transition animation begins.,,,,,,,,
,,,,,,,,,,
android.animation.LayoutTransition,"void addChild(ViewGroup parent, View child)", This method is called by ViewGroup when a child view is about to be added to the container.,no suit,,,,,,,
,,,,,,,,,,
android.animation.LayoutTransition,void addTransitionListener(LayoutTransition.TransitionListener listener), Add a listener that will be called when the bounds of the view change due to layout processing.,no suit,,,,,,,
,,,,,,,,,,
android.animation.LayoutTransition,"void hideChild(ViewGroup parent, View child, int newVisibility)", This method is called by ViewGroup when a child view is about to be hidden in container.,no suit,,,,,,,
,,,,,,,,,,
android.animation.LayoutTransition,"void removeChild(ViewGroup parent, View child)", This method is called by ViewGroup when a child view is about to be removed from the container.,no suit,,,,,,,
,,,,,,,,,,
android.animation.LayoutTransition,"void showChild(ViewGroup parent, View child, int oldVisibility)", This method is called by ViewGroup when a child view is about to be made visible in the container.,no suit,,,,,,,
,,,,,,,,,,
android.animation.ObjectAnimator,void setAutoCancel(boolean cancel), autoCancel controls whether an ObjectAnimator will be canceled automatically when any other ObjectAnimator with the same target and properties is started.,no suit,,,,,,,
,,,,,,,,,,
android.animation.StateListAnimator,"void addState(int[] specs, Animator animator)", Associates the given animator with the provided drawable state specs so that it will be run when the View's drawable state matches the specs.,no suit,,,,,,,
,,,,,,,,,,
android.animation.ValueAnimator,Object getAnimatedValue(), The most recent value calculated by this ValueAnimator when there is just one property being animated.,,,,,,,,
,,,,,,,,,,
android.animation.ValueAnimator,int getRepeatMode(), Defines what this animation should do when it reaches the end.,no suit,,,,,,,
,,,,,,,,,,
android.animation.ValueAnimator,void resume()," Resumes a paused animation, causing the animator to pick up where it left off when it was paused.",,,,,,,,
,,,,,,,,,,
